"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
0,-0.6,0,45,0,0,43,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,870.0727,2795.5505,2720.6444,1497.8116,1313.2655,1018.4863,493.4305,2971.0811,1695.3672,586.3449,1323.5624,370,1599
0,-0.5,0,43,0,0,43,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,989.5104,2844.3175,2704.3944,1506.2213,1326.4952,1120.3341,518.293,3010.1518,1759.9491,632.3722,1423.9683,467,1782
0,0,0,37,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,937.4322,2991.9275,2684.0141,1569.0751,1339.2199,1063.6873,491.0259,2990.4077,1747.3041,637.2655,1356.8135,409,1826
1,0.9,0,32,0,0,52,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1068.2919,3013.6792,2816.5996,1632.6032,1305.28,982.3819,552.0688,2983.4293,1740.7127,665.3859,1363.4909,534,2153
0,0.7,0,29,0,0,36,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1374.2412,3258.2331,2808.911,1582.6272,1227.5617,970.1476,562.3241,2975.8739,1672.2686,578.8968,1307.8821,543,2758
1,-0.4,0,29,0,0,35,0.16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558.3154,3736.9267,3008.4172,1699.7198,1269.0243,951.0715,507.3438,3154.2415,1704.994,591.7059,1276.415,654,3630
6,-1.7,0,31,0,0,34,2.89,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1622.1074,4175.1044,3700.5412,1909.7167,1403.997,1041.3257,478.6264,3973.6604,2123.0683,622.002,1290.1995,905,4137
5,-2.6,0,35,0,0,33,6.76,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1557.8975,4419.1781,3839.9021,1760.4638,1246.116,889.6418,497.7653,4167.7493,2169.1348,571.6492,1262.536,730,2757
2,-2.5,0,34,0,0,26,6.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1269.1329,4050.6744,3759.2817,1628.7147,1224.347,829.998,489.8588,4063.2589,2048.6651,595.7314,1226.7881,652,3519
3,-3.5,0,37,0,0,30,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,849.88,3229.9279,3591.9289,1508.3825,1122.9576,784.0163,463.3358,3757.592,1966.2933,557.9976,1179.2421,824,4445
